synapse_id	x_px	y_px	z_px	size_px	distance	detection_uncertainty	node_id	node_x_px	node_y_px	node_z_px	node_count	nearest_connector_id	nearest_connector_distance_nm	nearest_connector_x_nm	nearest_connector_y_nm	nearest_connector_z_nm
1	13251	5827	240	45	0.0438949	0.34555553860134547	92044	13323	5727	240	1	92047	452.8796749689701	53230.0	22926.0	10890.0
2	13338	5740	244	1499	0.0275899	0.330354	92040	13414	5754	244	4	92047	155.37052487521564	53230.0	22926.0	10890.0
3	13506	5818	244	37	0.113611	0.29027031563423777	92040	13414	5754	244	1	94424	745.7405715126407	53564.0	23224.0	10395.0
4	13526	5820	246	3637	0.0438741	0.320541	92038	13401	5734	246	5	94424	866.2338021573621	53564.0	23224.0	10395.0
5	13356	5717	247	2152	0.0187487	0.38823	92037	13409	5731	247	5	92047	302.6962173533062	53230.0	22926.0	10890.0
6	13554	5659	247	102	0.118446	0.441961	92037	13409	5731	247	2	92047	1052.1031318269136	53230.0	22926.0	10890.0
7	13329	5805	256	891	0.0561556	0.362447	92028	13434	5698	256	4	94594	123.54756169184401	53256.0	23328.0	11520.0
9	13316	5801	258	542	0.110241	0.476181	92026	13443	5674	258	4	94594	153.42750731208534	53256.0	23328.0	11520.0
8	13428	5539	258	1315	0.129025	0.364586	92026	13443	5674	258	5	226352	1050.8458497800711	54036.0	22482.0	12555.0
10	13337	5830	257	33	0.106031	0.51727271802497632	92027	13438	5683	257	1	94594	102.7277956543408	53256.0	23328.0	11520.0
11	13518	5764	260	3044	0.0858655	0.334234	92024	13445	5670	260	7	94594	878.7718702826121	53256.0	23328.0	11520.0
12	13513	5690	265	168	0.0654512	0.38869	92019	13446	5667	265	3	226352	688.7960510920486	54036.0	22482.0	12555.0
13	13622	5529	267	1281	0.055634	0.431819	92017	13483	5664	267	4	226352	793.6371967089244	54036.0	22482.0	12555.0
14	13552	5681	268	1073	0.0325742	0.299469	92016	13486	5661	268	5	226352	577.2113997488268	54036.0	22482.0	12555.0
15	13506	5632	281	661	0.0918838	0.357428	91965	13578	5579	281	3	226352	101.78408519999579	54036.0	22482.0	12555.0
