synapse_id	x_px	y_px	z_px	size_px	distance	detection_uncertainty	node_id	node_x_px	node_y_px	node_z_px
1	7514	6041	242	46	0.175056	0.43630434119183081	141161	7524	6177	242
2	7479	6032	240	14	0.0639428	0.52714289937700542	141159	7510	6181	240
3	7510	6043	240	102	0.0555185	0.57794122134937953	141159	7510	6181	240
4	7575	6236	234	120	0.0665003	0.30983327229817703	141142	7485	6149	234
4	7577	6247	233	382	0.091836	0.31523547746748204	141141	7480	6143	233
4	7576	6250	232	492	0.0598733	0.36565033207094766	141140	7485	6146	232
4	7575	6244	231	335	0.0741815	0.28017901520230881	141139	7490	6150	231
4	7575	6243	230	154	0.0839525	0.32636335298612518	141138	7495	6153	230
5	7441	6147	228	105	0.0885686	0.32219056628999254	141136	7499	6170	228
5	7442	6146	227	107	0.0382879	0.45476638936550817	141135	7501	6179	227
5	7449	6140	226	202	0.0643415	0.44688132257744817	141134	7516	6205	226
6	7506	6146	224	97	0.0372562	0.51505153695332639	141130	7512	6240	224
6	7503	6147	223	162	0.0139919	0.50425903885452827	141129	7541	6251	223
7	7419	6400	223	41	0.068642	0.43000007257228945	141129	7541	6251	223
6	7499	6152	222	389	0.00868951	0.33989725382591585	141128	7539	6240	222
6	7501	6144	221	877	0.0162205	0.36263401288127139	141127	7537	6230	221
6	7509	6138	220	1478	0.0121609	0.25236178799475639	141126	7531	6214	220
8	7478	6208	219	220	0.0227547	0.44954560019753198	141125	7526	6199	219
6	7507	6140	219	1682	0.018064	0.36442959634642536	141125	7526	6199	219
9	7489	6222	219	16	0.0397881	0.37374997138977051	141125	7526	6199	219
9	7474	6207	218	615	0.00808154	0.46487784036775914	141124	7521	6184	218
6	7503	6142	218	1255	0.00611861	0.32570552749937753	141124	7521	6184	218
9	7471	6189	217	969	0.0126621	0.44610904343234004	141123	7521	6183	217
6	7514	6126	217	33	0.0163324	0.40515154058283021	141123	7521	6183	217
9	7465	6178	216	994	0.00345749	0.41017117106938505	141122	7522	6183	216
9	7468	6165	215	549	0.0102203	0.41863385532288822	141120	7556	6185	215
9	7468	6159	214	346	0.0144247	0.33653166666196266	141119	7551	6184	214
10	7552	6332	214	23	0.031033	0.30826087619947351	141119	7551	6184	214
11	7344	6223	213	81	0.054869	0.57098770141601562	141020	7484	6242	213
12	7335	6242	213	16	0.0659439	0.54500001668930054	141020	7484	6242	213
13	7534	6345	213	46	0.0831124	0.53521740954855213	141020	7484	6242	213
14	7536	6371	213	31	0.101794	0.46193547402658774	141020	7484	6242	213
15	7390	6095	200	30	0.0264289	0.55066671371459963	141007	7497	6099	200
15	7393	6093	199	330	0.0174172	0.38669692530776512	141005	7481	6111	199
16	7413	6048	198	41	0.0282862	0.46756088442918731	141004	7486	6106	198
15	7393	6087	198	550	0.0122275	0.36125432794744317	141004	7486	6106	198
16	7395	6079	197	890	0.0179092	0.31410069840677668	141003	7491	6102	197
16	7394	6078	196	921	0.0100678	0.35079184003036779	141002	7497	6098	196
16	7392	6078	195	667	0.00646433	0.28524665889711398	141001	7502	6091	195
16	7395	6073	194	519	0.00660586	0.31082817768545279	141000	7508	6084	194
16	7397	6071	193	454	0.018735	0.32927283736577639	140999	7514	6077	193
16	7400	6061	192	200	0.0128564	0.29655021667480463	140998	7492	6112	192
16	7401	6058	191	44	0.0432923	0.38113628734241833	140954	7470	6147	191
18	7564	6089	191	33	0.0256773	0.35454547766483191	140954	7470	6147	191
17	7499	6008	191	29	0.0400267	0.40655168993719693	140954	7470	6147	191
17	7501	6011	190	11	0.0520412	0.35181817141446203	140953	7491	6137	190
18	7558	6088	190	234	0.0210847	0.30884617210453391	140953	7491	6137	190
19	7627	6194	190	45	0.0768263	0.5966666751437717	140953	7491	6137	190
18	7553	6086	189	482	0.0390259	0.31134856291331692	112593	7465	6212	189
20	7388	6355	189	21	0.0511386	0.25619039081391837	112593	7465	6212	189
18	7550	6088	188	550	0.0215512	0.36760004216974429	140951	7475	6210	188
20	7387	6355	188	121	0.0214292	0.41644627594750772	140951	7475	6210	188
21	7403	6154	188	386	0.0232574	0.54658026028173579	140951	7475	6210	188
22	7621	6193	188	112	0.0370775	0.31776789256504601	140951	7475	6210	188
18	7541	6090	187	467	0.0093985	0.44963599782939645	112062	7486	6162	187
21	7406	6154	187	317	0.0162812	0.57649866338784017	112062	7486	6162	187
22	7628	6197	187	250	0.104527	0.26275994873046871	112062	7486	6162	187
23	7418	6142	187	22	0.0228363	0.71090912818908691	112062	7486	6162	187
24	7385	6153	187	11	0.0502279	0.5427272970026189	112062	7486	6162	187
25	7395	6167	187	64	0.0404122	0.48015624284744263	112062	7486	6162	187
26	7380	6394	186	1015	0.0236747	0.2587580939231835	140949	7470	6342	186
27	7422	6430	186	38	0.0410251	0.38947371432655731	140949	7470	6342	186
26	7380	6393	185	529	0.0096988	0.2945556640625	140948	7462	6326	185
28	7407	6178	185	83	0.0405106	0.50385532608951433	140948	7462	6326	185
26	7387	6412	184	13	0.0824775	0.44307694068321812	140947	7455	6310	184
28	7405	6168	184	849	0.0432188	0.37710222619441991	140947	7455	6310	184
29	7377	6277	184	54	0.0515418	0.3816666779694734	140947	7455	6310	184
28	7405	6168	183	1006	0.0829175	0.13715734159496151	140946	7454	6308	183
29	7378	6278	183	110	0.0652187	0.35009085915305393	140946	7454	6308	183
28	7409	6164	182	605	0.079538	0.36624776036286155	140945	7454	6306	182
29	7379	6280	182	187	0.0812247	0.27657754663477607	140945	7454	6306	182
30	7583	6286	182	37	0.0756546	0.40945950069942993	140945	7454	6306	182
29	7380	6280	181	274	0.0203859	0.24266408655765281	140944	7454	6305	181
